ModelSim Parent Window: ModelSim - INTEL FPGA STARTER EDITION 2020.1
HWND: 1119804
Size: 2011x1236
Position: (436, 107)

Total child windows: 589

========================================================================================================================

All child windows (sorted by size):
  #       HWND Class                                    Title                          Size            Position             Area      
--------------------------------------------------------------------------------------------------------------------------------------------
 96    1841096 TkChild                                                                 365x32          (445, 159)           11680     
 97    2432928 TkChild                                                                 359x30          (936, 192)           10770     
 98    1708104 TkChild                                                                 358x30          (451, 160)           10740     
 99    1974182 TkChild                                                                 357x30          (937, 192)           10710     
100    2364682 TkChild                                                                 356x30          (452, 160)           10680     
101    3153532 TkChild                                                                 333x32          (1747, 159)          10656     
102    2298256 TkChild                                                                 1035x10         (1350, 230)          10350     
103    2038216 TkChild                                                                 58x177          (1100, 506)          10266     
104    1382572 ScrollBar                                                               17x580          (2420, 730)          9860      
105    1384066 TkChild                                                                 326x30          (1753, 160)          9780      
106    2824322 TkChild                                                                 324x30          (1754, 160)          9720      
107    1445308 TkChild                                                                 396x23          (444, 682)           9108      
108    1249874 TkChild                                                                 44x196          (1078, 262)          8624      
109    1378520 TkChild                                                                 44x196          (996, 262)           8624      
110    1646818 TkChild                                                                 374x23          (444, 682)           8602      
111    1448940 TkChild                                                                 44x177          (1158, 506)          7788      
112    2689430 TkChild                                                                 38x196          (1040, 262)          7448      
113    2558644 TkChild                                                                 392x18          (446, 226)           7056      
114     854306 TkChild                                                                 392x18          (848, 470)           7056      
115    1055746 TkChild                                                                 392x18          (848, 226)           7056      
116    1710698 TkChild                                                                 316x21          (1759, 163)          6636      
117    1317392 TkChild                                                                 207x32          (1539, 159)          6624      
118    1775912 TkChild                                                                 194x32          (1447, 191)          6208      
119    1970400 TkChild                                                                 193x32          (736, 191)           6176      
120    1449554 TkChild                                                                 200x30          (1545, 160)          6000      
121    1840482 TkChild                                                                 198x30          (1546, 160)          5940      
122    2168464 TkChild                                                                 312x19          (1761, 164)          5928      
123    1840316 TkChild                                                                 17x347          (2418, 267)          5899      
124    1644486 TkChild                                                                 17x347          (2418, 267)          5899      
